parameter,description
VEHICLE_CMD_OBLIQUE_SURVEY=260,uint16 # Mission command to set a Camera Auto Mount Pivoting Oblique Survey for this flight|Camera trigger distance (meters)| Shutter integration time (ms)| Camera minimum trigger interval| Number of positions| Roll| Pitch| Empty|
FAILURE_TYPE_OFF,uint8 = 1
VEHICLE_CMD_DO_GIMBAL_MANAGER_PITCHYAW,uint16 = 1000 # Setpoint to be sent to a gimbal manager to set a gimbal pitch and yaw
VEHICLE_CMD_DO_SET_ROI_WPNEXT_OFFSET,uint16 = 196 # Sets the region of interest (ROI) to be toward next waypoint; with optional pitch/roll/yaw offset. This can then be used by the vehicles control system to control the vehicle attitude and the attitude of various sensors such as cameras. |Empty| Empty| Empty| Empty| pitch offset from next waypoint| roll offset from next waypoint| yaw offset from next waypoint|
VEHICLE_ROI_WPNEXT,uint8 = 1 # Point toward next MISSION |
VEHICLE_CMD_DO_INVERTED_FLIGHT=210,uint16 # Change to/from inverted flight |inverted (0=normal; 1=inverted)| Empty| Empty| Empty| Empty| Empty| Empty|
VEHICLE_MOUNT_MODE_RETRACT,uint8 = 0 # Load and keep safe position (Roll;Pitch;Yaw) from permanent memory and stop stabilization |
VEHICLE_CMD_DO_LAND_START,uint16 = 189 # Mission command to perform a landing. This is used as a marker in a mission to tell the autopilot where a sequence of mission items that represents a landing starts. It may also be sent via a COMMAND_LONG to trigger a landing; in which case the nearest (geographically) landing sequence in the mission will be used. The Latitude/Longitude is optional; and may be set to 0/0 if not needed. If specified then it will be used to help find the closest landing sequence. |Empty| Empty| Empty| Empty| Latitude| Longitude| Empty|
VEHICLE_CMD_DO_DIGICAM_CONTROL=203,uint16 
VEHICLE_CMD_RUN_PREARM_CHECKS,uint16 = 401 # Instructs a target system to run pre-arm checks.
FAILURE_UNIT_SENSOR_VIO,uint8 = 6
VEHICLE_CMD_DO_ORBIT,uint16 = 34 # Start orbiting on the circumference of a circle defined by the parameters. |Radius [m] |Velocity [m/s] |Yaw behaviour |Empty |Latitude/X |Longitude/Y |Altitude/Z |
VEHICLE_ROI_LOCATION,uint8 = 3 # Point toward fixed location |
VEHICLE_CMD_ARM_AUTHORIZATION_REQUEST,uint16 = 3001 # Request arm authorization
SPEED_TYPE_CLIMB_SPEED,uint8 = 2
VEHICLE_CMD_NAV_ROI,uint16 = 80 # Sets the region of interest (ROI) for a sensor set or the vehicle itself. This can then be used by the vehicles control system to control the vehicle attitude and the attitude of various sensors such as cameras. |Region of interest mode. (see MAV_ROI enum)| MISSION index/ target ID. (see MAV_ROI enum)| ROI index (allows a vehicle to manage multiple ROI's)| Empty| x the location of the fixed ROI (see MAV_FRAME)| y| z|
VEHICLE_CMD_LOGGING_STOP,uint16 = 2511 # stop streaming ULog data
VEHICLE_CMD_VIDEO_STOP_CAPTURE,uint16 = 2501 # Stop the current video capture.
VEHICLE_CMD_INJECT_FAILURE,uint16 = 420 # Inject artificial failure for testing purposes
VEHICLE_CMD_NAV_VTOL_LAND,uint16 = 85 # Transition to MC and land at location |Empty| Empty| Empty| Desired yaw angle.| Latitude| Longitude| Altitude|
param2,float32 # Parameter 2; as defined by MAVLink uint16 VEHICLE_CMD enum.
FAILURE_TYPE_STUCK,uint8 = 2
VEHICLE_CMD_SET_CAMERA_MODE,uint16 = 530 # Set camera capture mode (photo; video; etc.)
VEHICLE_CMD_DO_GRIPPER,uint16 = 211 # Command to operate a gripper
VEHICLE_CMD_CONDITION_YAW,uint16 = 115 # Reach a certain target angle. |target angle: [0-360]; 0 is north| speed during yaw change:[deg per second]| direction: negative: counter clockwise; positive: clockwise [-1;1]| relative offset or absolute angle: [ 1;0]| Empty| Empty| Empty|
FAILURE_TYPE_OK,uint8 = 0
VEHICLE_CMD_GIMBAL_DEVICE_INFORMATION,uint16 = 283 # Command to ask information about a low level gimbal
VEHICLE_CMD_PAYLOAD_PREPARE_DEPLOY,uint16 = 30001 # Prepare a payload deployment in the flight plan
VEHICLE_CMD_DO_PAUSE_CONTINUE,uint16 = 193
VEHICLE_CMD_DO_FENCE_ENABLE=207,uint16 # Mission command to enable the geofence |enable? (0=disable; 1=enable)| Empty| Empty| Empty| Empty| Empty| Empty|
VEHICLE_CMD_DO_SET_ACTUATOR,uint16 = 187 # Sets actuators (e.g. servos) to a desired value. |Actuator 1| Actuator 2| Actuator 3| Actuator 4| Actuator 5| Actuator 6| Index|
confirmation,uint8 # 0: First transmission of this command. 1-255: Confirmation transmissions (e.g. for kill command)
FAILURE_UNIT_SYSTEM_BATTERY,uint8 = 100
VEHICLE_CMD_DO_MOUNT_CONFIGURE=204,uint16 # Mission command to configure a camera or antenna mount |Mount operation mode (see MAV_MOUNT_MODE enum)| stabilize roll? (1 = yes; 0 = no)| stabilize pitch? (1 = yes; 0 = no)| stabilize yaw? (1 = yes; 0 = no)| Empty| Empty| Empty|
VEHICLE_CMD_LOGGING_START,uint16 = 2510 # start streaming ULog data
VEHICLE_CMD_DO_SET_CAM_TRIGG_INTERVAL=214,uint16 # Mission command to set TRIG_INTERVAL for this flight |Camera trigger distance (meters)| Shutter integration time (ms)| Empty| Empty| Empty| Empty| Empty|
VEHICLE_CMD_DO_SET_MODE,uint16 = 176 # Set system mode. |Mode; as defined by ENUM MAV_MODE| Empty| Empty| Empty| Empty| Empty| Empty|
VEHICLE_CMD_PREFLIGHT_UAVCAN,uint16 = 243 # UAVCAN configuration. If param 1 == 1 actuator mapping and direction assignment should be started
param7,float32 # Parameter 7; as defined by MAVLink uint16 VEHICLE_CMD enum.
VEHICLE_CMD_CONDITION_CHANGE_ALT,uint16 = 113 # Ascend/descend at rate. Delay mission state machine until desired altitude reached. |Descent / Ascend rate (m/s)| Empty| Empty| Empty| Empty| Empty| Finish Altitude|
FAILURE_TYPE_DELAYED,uint8 = 6
VEHICLE_CMD_DO_CHANGE_SPEED,uint16 = 178 # Change speed and/or throttle set points. |Speed type (0=Airspeed; 1=Ground Speed)| Speed (m/s; -1 indicates no change)| Throttle ( Percent; -1 indicates no change)| Empty| Empty| Empty| Empty|
VEHICLE_ROI_NONE,uint8 = 0 # No region of interest |
FAILURE_TYPE_INTERMITTENT,uint8 = 7
VEHICLE_CMD_CONDITION_DISTANCE,uint16 = 114 # Delay mission state machine until within desired distance of next NAV point. |Distance (meters)| Empty| Empty| Empty| Empty| Empty| Empty|
VEHICLE_CMD_DO_LAST,uint16 = 240 # NOP - This command is only used to mark the upper limit of the DO commands in the enumeration |Empty| Empty| Empty| Empty| Empty| Empty| Empty|
VEHICLE_MOUNT_MODE_RC_TARGETING,uint8 = 3 # Load neutral position and start RC Roll;Pitch;Yaw control with stabilization |
VEHICLE_CMD_DO_GUIDED_MASTER=221,uint16 # set id of master controller |System ID| Component ID| Empty| Empty| Empty| Empty| Empty|
VEHICLE_CMD_DO_SET_RELAY,uint16 = 181 # Set a relay to a condition. |Relay number| Setting (1=on; 0=off; others possible depending on system hardware)| Empty| Empty| Empty| Empty| Empty|
VEHICLE_CMD_CONFIGURE_ACTUATOR,uint16 = 311 # Actuator configuration command|configuration|Empty|Empty|Empty|output function|
param6,float64 # Parameter 6; as defined by MAVLink uint16 VEHICLE_CMD enum.
VEHICLE_CMD_CUSTOM_2,uint16 = 2 # test command
VEHICLE_CMD_NAV_VTOL_TAKEOFF,uint16 = 84 # Takeoff from ground / hand and transition to fixed wing |Minimum pitch (if airspeed sensor present); desired pitch without sensor| Empty| Empty| Yaw angle (if magnetometer present); ignored without magnetometer| Latitude| Longitude| Altitude|
PARACHUTE_ACTION_DISABLE,uint8 = 0
FAILURE_TYPE_SLOW,uint8 = 5
VEHICLE_CMD_NAV_GUIDED_LIMITS,uint16 = 90 # set limits for external control |timeout - maximum time (in seconds) that external controller will be allowed to control vehicle. 0 means no timeout| absolute altitude min (in meters; AMSL) - if vehicle moves below this alt; the command will be aborted and the mission will continue. 0 means no lower altitude limit| absolute altitude max (in meters)- if vehicle moves above this alt; the command will be aborted and the mission will continue. 0 means no upper altitude limit| horizontal move limit (in meters; AMSL) - if vehicle moves more than this distance from it's location at the moment the command was executed; the command will be aborted and the mission will continue. 0 means no horizontal altitude limit| Empty| Empty| Empty|
VEHICLE_CMD_DO_MOUNT_CONTROL_QUAT=220,uint16 # Mission command to control a camera or antenna mount; using a quaternion as reference. |q1 - quaternion param #1; w (1 in null-rotation)| q2 - quaternion param #2; x (0 in null-rotation)| q3 - quaternion param #3; y (0 in null-rotation)| q4 - quaternion param #4; z (0 in null-rotation)| Empty| Empty| Empty|
VEHICLE_CMD_IMAGE_START_CAPTURE,uint16 = 2000 # Start image capture sequence.
FAILURE_UNIT_SENSOR_GPS,uint8 = 4
SPEED_TYPE_AIRSPEED,uint8 = 0
VEHICLE_CMD_NAV_RETURN_TO_LAUNCH,uint16 = 20 # Return to launch location |Empty| Empty| Empty| Empty| Empty| Empty| Empty|
FAILURE_UNIT_SENSOR_DISTANCE_SENSOR,uint8 = 7
VEHICLE_CMD_DO_MOTOR_TEST=209,uint16 # motor test command |Instance (1; ...)| throttle type| throttle| timeout [s]| Motor count | Test order| Empty|
VEHICLE_CMD_CUSTOM_0,uint16 = 0 # test command
VEHICLE_CMD_NAV_LOITER_TIME,uint16 = 19 # Loiter around this MISSION for X seconds |Seconds (decimal)| Empty| Radius around MISSION; in meters. If positive loiter clockwise; else counter-clockwise| Desired yaw angle.| Latitude| Longitude| Altitude|
VEHICLE_CMD_DO_REPEAT_RELAY,uint16 = 182 # Cycle a relay on and off for a desired number of cycles with a desired period. |Relay number| Cycle count| Cycle time (seconds; decimal)| Empty| Empty| Empty| Empty|
VEHICLE_CMD_DO_CHANGE_ALTITUDE,uint16 = 186 # Set the vehicle to Loiter mode and change the altitude to specified value |Altitude| Frame of new altitude | Empty| Empty| Empty| Empty| Empty|
PARACHUTE_ACTION_ENABLE,uint8 = 1
VEHICLE_CMD_DO_TRIGGER_CONTROL,uint16 = 2003 # Enable or disable on-board camera triggering system
VEHICLE_CMD_DO_PARACHUTE=208,uint16 # Mission command to trigger a parachute |action (0=disable; 1=enable; 2=release; for some systems see PARACHUTE_ACTION enum; not in general message set.)| Empty| Empty| Empty| Empty| Empty| Empty|
FAILURE_UNIT_SENSOR_OPTICAL_FLOW,uint8 = 5
FAILURE_UNIT_SYSTEM_SERVO,uint8 = 102
VEHICLE_CMD_CUSTOM_1,uint16 = 1 # test command
VEHICLE_CMD_PREFLIGHT_SET_SENSOR_OFFSETS,uint16 = 242 # Set sensor offsets. This command will be only accepted if in pre-flight mode. |Sensor to adjust the offsets for: 0: gyros; 1: accelerometer; 2: magnetometer; 3: barometer; 4: optical flow| X axis offset (or generic dimension 1); in the sensor's raw units| Y axis offset (or generic dimension 2); in the sensor's raw units| Z axis offset (or generic dimension 3); in the sensor's raw units| Generic dimension 4; in the sensor's raw units| Generic dimension 5; in the sensor's raw units| Generic dimension 6; in the sensor's raw units|
FAILURE_UNIT_SYSTEM_RC_SIGNAL,uint8 = 104
PREFLIGHT_CALIBRATION_TEMPERATURE_CALIBRATION,uint16 = 3# param value for VEHICLE_CMD_PREFLIGHT_CALIBRATION to start temperature calibration
VEHICLE_CMD_DO_SET_ROI,uint16 = 201 # Sets the region of interest (ROI) for a sensor set or the vehicle itself. This can then be used by the vehicles control system to control the vehicle attitude and the attitude of various sensors such as cameras. |Region of interest mode. (see MAV_ROI enum)| MISSION index/ target ID. (see MAV_ROI enum)| ROI index (allows a vehicle to manage multiple ROI's)| Empty| x the location of the fixed ROI (see MAV_FRAME)| y| z|
VEHICLE_CMD_DO_VTOL_TRANSITION,uint16 = 3000 # Command VTOL transition
VEHICLE_MOUNT_MODE_NEUTRAL,uint8 = 1 # Load and keep neutral position (Roll;Pitch;Yaw) from permanent memory. |
VEHICLE_CMD_NAV_LAST,uint16 = 95 # NOP - This command is only used to mark the upper limit of the NAV/ACTION commands in the enumeration |Empty| Empty| Empty| Empty| Empty| Empty| Empty|
GRIPPER_ACTION_GRAB,uint8 = 1
VEHICLE_CMD_CONDITION_LAST,uint16 = 159 # NOP - This command is only used to mark the upper limit of the CONDITION commands in the enumeration |Empty| Empty| Empty| Empty| Empty| Empty| Empty|
VEHICLE_CMD_DO_SET_HOME,uint16 = 179 # Changes the home location either to the current location or a specified location. |Use current (1=use current location; 0=use specified location)| Empty| Empty| Empty| Latitude| Longitude| Altitude|
FAILURE_UNIT_SENSOR_MAG,uint8 = 2
SPEED_TYPE_GROUNDSPEED,uint8 = 1
VEHICLE_CMD_PREFLIGHT_CALIBRATION,uint16 = 241 # Trigger calibration. This command will be only accepted if in pre-flight mode. See mavlink spec MAV_CMD_PREFLIGHT_CALIBRATION
VEHICLE_CMD_CONDITION_DELAY,uint16 = 112 # Delay mission state machine. |Delay in seconds (decimal)| Empty| Empty| Empty| Empty| Empty| Empty|
VEHICLE_ROI_WPINDEX,uint8 = 2 # Point toward given MISSION |
VEHICLE_CMD_NAV_LOITER_TURNS,uint16 = 18 # Loiter around this MISSION for X turns |Turns| Empty| Radius around MISSION; in meters. If positive loiter clockwise; else counter-clockwise| Desired yaw angle.| Latitude| Longitude| Altitude|
VEHICLE_CMD_DO_SET_CAM_TRIGG_DIST=206,uint16 # Mission command to set TRIG_DIST for this flight |Camera trigger distance (meters)| Shutter integration time (ms)| Empty| Empty| Empty| Empty| Empty|
GRIPPER_ACTION_RELEASE,uint8 = 0
VEHICLE_CMD_NAV_PRECLAND,uint16 = 23 # Attempt a precision landing
VEHICLE_ROI_ENUM_END,uint8 = 5
VEHICLE_CMD_COMPONENT_ARM_DISARM,uint16 = 400 # Arms / Disarms a component |1 to arm; 0 to disarm
source_component,uint8 # Component sending the command
VEHICLE_CMD_START_RX_PAIR,uint16 = 500 # Starts receiver pairing |0:Spektrum| 0:Spektrum DSM2; 1:Spektrum DSMX|
VEHICLE_CMD_DO_SET_ROI_LOCATION,uint16 = 195 # Sets the region of interest (ROI) to a location. This can then be used by the vehicles control system to control the vehicle attitude and the attitude of various sensors such as cameras. |Empty| Empty| Empty| Empty| Latitude| Longitude| Altitude|
VEHICLE_CMD_DO_SET_PARAMETER,uint16 = 180 # Set a system parameter. Caution! Use of this command requires knowledge of the numeric enumeration value of the parameter. |Parameter number| Parameter value| Empty| Empty| Empty| Empty| Empty|
VEHICLE_CMD_PREFLIGHT_STORAGE,uint16 = 245 # Request storage of different parameter values and logs. This command will be only accepted if in pre-flight mode. |Parameter storage: 0: READ FROM FLASH/EEPROM; 1: WRITE CURRENT TO FLASH/EEPROM| Mission storage: 0: READ FROM FLASH/EEPROM; 1: WRITE CURRENT TO FLASH/EEPROM| Reserved| Reserved| Empty| Empty| Empty|
baro_alt_meter,float32 # Altitude above MSL calculated from temperature compensated baro sensor data using an ISA corrected for sea level pressure SENS_BARO_QNH.
baro_pressure_pa,float32 # Absolute pressure in Pascals
baro_temp_celcius,float32 # Temperature in degrees Celsius
rho,float32 # air density
handled_motor_failure_mask,uint16 # Bitmask of failed motors that were removed from the allocation / effectiveness matrix. Not necessarily identical to the report from FailureDetector
unallocated_thrust,float32[3] # Unallocated thrust. Equal to 0 if the setpoint was achieved.
ACTUATOR_SATURATION_LOWER,int8 = -2 # The actuator is saturated (with a value >= the desired value) because it has reached its minimum value
thrust_setpoint_achieved,bool # Boolean indicating whether the 3D thrust setpoint was correctly allocated to actuators. 0 if not achieved; 1 if achieved.
unallocated_torque,float32[3] # Unallocated torque. Equal to 0 if the setpoint was achieved.
ACTUATOR_SATURATION_OK,int8 = 0 # The actuator is not saturated
actuator_saturation,int8[16] # Indicates actuator saturation status.
ACTUATOR_SATURATION_UPPER,int8 = 2 # The actuator is saturated (with a value <= the desired value) because it has reached its maximum value
torque_setpoint_achieved,bool # Boolean indicating whether the 3D torque setpoint was correctly allocated to actuators. 0 if not achieved; 1 if achieved.
ACTUATOR_SATURATION_LOWER_DYN,int8 = -1 # The actuator is saturated (with a value >= the desired value) because it cannot decrease its value faster
ACTUATOR_SATURATION_UPPER_DYN,int8 = 1 # The actuator is saturated (with a value <= the desired value) because it cannot increase its value faster
ready_to_arm,bool # Set to true if system is ready to be armed
armed,bool # Set to true if system is armed
lockdown,bool # Set to true if actuators are forced to being disabled (due to emergency or HIL)
in_esc_calibration_mode,bool # IO/FMU should ignore messages from the actuator controls topics
prearmed,bool # Set to true if the actuator safety is disabled but motors are not armed
manual_lockdown,bool # Set to true if manual throttle kill switch is engaged
force_failsafe,bool # Set to true if the actuators are forced to the failsafe position
sensor_sample_rate_hz,float32 
peak_snr_x,float32[3] # x axis peak SNR
peak_snr_y,float32[3] # y axis peak SNR
peak_snr_z,float32[3] # z axis peak SNR
resolution_hz,float32 
peak_frequencies_z,float32[3] # z axis peak frequencies
peak_frequencies_x,float32[3] # x axis peak frequencies
peak_frequencies_y,float32[3] # y axis peak frequencies
rx_buf_end_index,uint16 # current size of the rx buffer
last_heartbeat,uint64 # timestamp of the last successful sbd session
tx_buf_write_pending,bool # indicates if a tx buffer write is pending
failed_sbd_sessions,uint16 # number of failed sbd sessions
successful_sbd_sessions,uint16 # number of successful sbd sessions
num_tx_buf_reset,uint16 # number of times the tx buffer was reset
tx_buf_write_index,uint16 # current size of the tx buffer
rx_session_pending,bool # indicates if a rx session is pending
ring_pending,bool # indicates if a ring call is pending
rx_read_pending,bool # indicates if a rx read is pending
tx_session_pending,bool # indicates if a tx session is pending
rx_buf_read_index,uint16 # the rx buffer is parsed up to that index
actuator,bool 
body_rate,bool 
attitude,bool 
index,uint32 
STATUS_FAILURE_READ_FAILED,uint8 = 3
STATUS_FAILURE_WRITE_FAILED,uint8 = 4
STATUS_FAILURE_CLEAR_FAILED,uint8 = 5
STATUS_FAILURE_NO_DATA,uint8 = 2
STATUS_SUCCESS,uint8 = 0
client_id,uint8 
STATUS_FAILURE_ID_ERR,uint8 = 1
request_type,uint8 # id/read/write/clear
item,uint8 # dm_item_t
pps_rate_exceeded_counter,uint8 # Increments when PPS dt < 50ms
rtc_timestamp,uint64 # Corrected GPS UTC timestamp at PPS capture event
SOURCE_AS_SENSOR_2,uint8 = 2 # combined synthetic sideslip and airspeed fusion (data from second airspeed sensor)
tas_scale_validated,float32 # Estimated true airspeed scale factor after validation
tas_scale_raw,float32 # Estimated true airspeed scale factor (not validated)
tas_scale_raw_var,float32 # True airspeed scale factor variance
SOURCE_AS_SENSOR_3,uint8 = 3 # combined synthetic sideslip and airspeed fusion (data from third airspeed sensor)
SOURCE_AS_BETA_ONLY,uint8 = 0 # wind estimate only based on synthetic sideslip fusion
SOURCE_AS_SENSOR_1,uint8 = 1 # combined synthetic sideslip and airspeed fusion (data from first airspeed sensor)
brick_valid,uint8 # brick bits power is good when bit 1
hipower_5v_oc,uint8 # high power peripheral overcurrent when 1
BRICK2_VALID_MASK=2,uint8 
usb_valid,uint8 # USB is valid when 1
can1_gps1_5v_valid,uint8 # 5V for CAN1/GPS1 valid
servo_valid,uint8 # servo power is good when 1
BRICK4_VALID_MASK=8,uint8 
BRICK1_VALID_SHIFTS=0,uint8 
voltage5v_v,float32 # peripheral 5V rail voltage
periph_5v_oc,uint8 # peripheral overcurrent when 1
BRICK4_VALID_SHIFTS=3,uint8 
BRICK3_VALID_MASK=4,uint8 
BRICK2_VALID_SHIFTS=1,uint8 
BRICK3_VALID_SHIFTS=2,uint8 
sensors3v3_valid,uint8 # Sensors 3V3 rail voltage was read (bitfield).
BRICK1_VALID_MASK=1,uint8 
sensors3v3,float32[4] # Sensors 3V3 rail voltage
comp_5v_valid,uint8 # 5V to companion valid
dt,float32 # delta time between samples (microseconds)
ACK_TIMEOUT,int32 = 50 # timeout waiting for an ack until we retry to send the message [ms]
ACK_MAX_TRIES,int32 = 50 # maximum amount of tries to (re-)send a message; each time waiting ACK_TIMEOUT ms
SOURCE_MAVLINK_1,uint8 = 3 # mavlink instance 1
aux4,float32 
sticks_moving,bool 
aux2,float32 
SOURCE_UNKNOWN,uint8 = 0
SOURCE_MAVLINK_0,uint8 = 2 # mavlink instance 0
SOURCE_MAVLINK_3,uint8 = 5 # mavlink instance 3
aux6,float32 
flaps,float32 # position of flaps switch/knob/lever [-1; 1]
aux5,float32 
SOURCE_MAVLINK_5,uint8 = 7 # mavlink instance 5
SOURCE_MAVLINK_4,uint8 = 6 # mavlink instance 4
throttle,float32 # move up; positive thrust; -1 is minimum available 0% or -100% +1 is 100% thrust
aux3,float32 
data_source,uint8 
aux1,float32 
SOURCE_MAVLINK_2,uint8 = 4 # mavlink instance 2
SOURCE_RC,uint8 = 1 # radio control (input_rc)
GEAR_KEEP,int8 = 0 # keep the current state
GEAR_DOWN,int8 = -1 # landing gear down
landing_gear,int8 
GEAR_UP,int8 = 1 # landing gear up
MISSION_EXECUTION_MODE_NORMAL,uint8 = 0 # Execute the mission according to the planned items
finished,bool # true if mission has been completed
MISSION_EXECUTION_MODE_REVERSE,uint8 = 1 # Execute the mission in reverse order; ignoring commands and converting all waypoints to normal ones
item_do_jump_remaining,uint16 # set to the number of do jumps remaining for that item
seq_reached,int32 # Sequence of the mission item which has been reached; default -1
item_do_jump_changed,bool # true if the number of do jumps remaining has changed
item_changed_index,uint16 # indicate which item has changed
seq_current,uint16 # Sequence of the current mission item
MISSION_EXECUTION_MODE_FAST_FORWARD,uint8 = 2 # Execute the mission as fast as possible; for example converting loiter waypoints to normal ones
seq_total,uint16 # Total number of mission items
execution_mode,uint8 # indicates the mode in which the mission is executed
failure,bool # true if the mission cannot continue or be completed for some reason
carrier_solution_fixed,bool # carrier phase range solution with fixed ambiguities
position_length,float32 
relative_position_valid,bool 
position_accuracy,float32[3] # Accuracy of relative position (m)
carrier_solution_floating,bool # carrier phase range solution with floating ambiguities
gnss_fix_ok,bool # GNSS valid fix (i.e within DOP & accuracy masks)
reference_observations_miss,bool # extrapolated reference observations were used to compute moving base solution this epoch
reference_station_id,uint16 # Reference Station ID
differential_solution,bool # differential corrections were applied
accuracy_length,float32 
relative_position_normalized,bool # the components of the relative position vector (including the high-precision parts) are normalized
moving_base_mode,bool # if the receiver is operating in moving base mode
heading_valid,bool 
reference_position_miss,bool # extrapolated reference position was used to compute moving base solution this epoch
SETPOINT_TYPE_LOITER=2,uint8 # loiter setpoint
SETPOINT_TYPE_POSITION=0,uint8 # position setpoint
SETPOINT_TYPE_IDLE=5,uint8 # do nothing; switch off motors or keep at idle speed (MC)
cruising_speed,float32 # the generally desired cruising speed (not a hard constraint)
SETPOINT_TYPE_VELOCITY=1,uint8 # velocity setpoint
SETPOINT_TYPE_LAND=4,uint8 # land setpoint; altitude must be ignored; descend until landing
loiter_direction_counter_clockwise,bool # loiter direction is clockwise by default and can be changed using this field
gliding_enabled,bool # commands the vehicle to glide if the capability is available (fixed wing only)
SETPOINT_TYPE_TAKEOFF=3,uint8 # takeoff setpoint
yaw_valid,bool # true if yaw setpoint valid
disable_weather_vane,bool # VTOL: disable (in auto mode) the weather vane feature that turns the nose into the wind
cruising_throttle,float32 # the generally desired cruising throttle (not a hard constraint); only has an effect for rover
yawspeed_valid,bool # true if yawspeed setpoint valid
hover_thrust,float32 # estimated hover thrust [0.1; 0.9]
accel_innov_test_ratio,float32 # normalized innovation squared test ratio
hover_thrust_var,float32 # estimated hover thrust variance
accel_noise_var,float32 # vertical acceleration noise variance estimated form innovation residual
accel_innov_var,float32 # innovation variance of the last acceleration fusion
accel_innov,float32 # innovation of the last acceleration fusion
request_sequence,uint32 
cmd,char[100] 
strlen,uint32 
MAX_STRLEN,uint32 = 100
est_cap,uint8 # target reporting capabilities
POINT_2,uint8 = 2
bezier_order,uint8 
POINT_3,uint8 = 3
POINT_0,uint8 = 0
control_points,TrajectoryBezier[5] 
NUMBER_POINTS,uint8 = 5
POINT_1,uint8 = 1
POINT_4,uint8 = 4
pulse_width,uint32 # Pulse width; timer counts
period,uint32 # Period; timer counts
junk,uint8[64] 
active_comp_id,uint8 # mavlink component id of currently active camera
active_sys_id,uint8 # mavlink system id of the currently active camera
optical_flow_timestamp_rel,int16 
distance_sensor_timestamp_rel,int16 
vehicle_magnetometer_timestamp_rel,int16 
vehicle_air_data_timestamp_rel,int16 
RELATIVE_TIMESTAMP_INVALID,int16 = 32767 # (0x7fff) If one of the relative timestamps
visual_odometry_timestamp_rel,int16 
airspeed_timestamp_rel,int16 
kff,float32 
STATE_FAIL,uint8 = 12
kc,float32 
dt_model,float32 
STATE_PITCH,uint8 = 4
STATE_COMPLETE,uint8 = 11
kd,float32 
STATE_TEST,uint8 = 10
STATE_APPLY,uint8 = 9
att_p,float32 
STATE_YAW_PAUSE,uint8 = 7
STATE_YAW,uint8 = 6
y_filt,float32 
u_filt,float32 
STATE_IDLE,uint8 = 0
STATE_WAIT_FOR_DISARM,uint8 = 13
STATE_PITCH_PAUSE,uint8 = 5
STATE_VERIFICATION,uint8 = 8
STATE_INIT,uint8 = 1
coeff_var,float32[5] # coefficients' variance of the identified discrete-time model
fitness,float32 # fitness of the parameter estimate
ki,float32 
coeff,float32[5] # coefficients of the identified discrete-time model
rate_sp,float32[3] 
STATE_ROLL_PAUSE,uint8 = 3
STATE_ROLL,uint8 = 2
MAX_MAGS,uint8 = 4
calibration_interval_perside_us,uint64 
done_count,uint32 
calibration_counter_total,uint32[4] 
side_data_collected,bool[4] 
calibration_points_perside,uint32 
radius,float32 # Radius of the orbit circle. Positive values orbit clockwise; negative values orbit counter-clockwise. [m]
ORBIT_YAW_BEHAVIOUR_HOLD_INITIAL_HEADING,uint8 = 1
ORBIT_YAW_BEHAVIOUR_HOLD_FRONT_TO_CIRCLE_CENTER,uint8 = 0
yaw_behaviour,uint8 
ORBIT_YAW_BEHAVIOUR_HOLD_FRONT_TANGENT_TO_CIRCLE,uint8 = 3
ORBIT_YAW_BEHAVIOUR_UNCONTROLLED,uint8 = 2
ORBIT_YAW_BEHAVIOUR_RC_CONTROLLED,uint8 = 4
TUNE_ID_ERROR,uint8 = 2
TUNE_ID_PROG_PX4IO_ERR,uint8 = 18
TUNE_ID_SD_INIT,uint8 = 14
TUNE_ID_HOME_SET,uint8 = 13
TUNE_ID_BATTERY_WARNING_FAST,uint8 = 8
tune_id,uint8 # tune_id corresponding to TuneID::* from the tune_defaults.h in the tunes library
VOLUME_LEVEL_MIN,uint8 = 0
TUNE_ID_ARMING_FAILURE,uint8 = 10
TUNE_ID_PROG_PX4IO,uint8 = 16
TUNE_ID_PROG_PX4IO_OK,uint8 = 17
TUNE_ID_PARACHUTE_RELEASE,uint8 = 11
TUNE_ID_STOP,uint8 = 0
TUNE_ID_POWER_OFF,uint8 = 19
duration,uint32 # in us
TUNE_ID_BATTERY_WARNING_SLOW,uint8 = 7
TUNE_ID_GPS_WARNING,uint8 = 9
silence,uint32 # in us
TUNE_ID_NOTIFY_POSITIVE,uint8 = 3
TUNE_ID_SINGLE_BEEP,uint8 = 12
TUNE_ID_STARTUP,uint8 = 1
TUNE_ID_NOTIFY_NEUTRAL,uint8 = 4
tune_override,bool # if true the tune which is playing will be stopped and the new started
TUNE_ID_NOTIFY_NEGATIVE,uint8 = 5
frequency,uint16 # in Hz
VOLUME_LEVEL_DEFAULT,uint8 = 20
NUMBER_OF_TUNES,uint8 = 20
VOLUME_LEVEL_MAX,uint8 = 100
volume,uint8 # value between 0-100 if supported by backend
TUNE_ID_ARMING_WARNING,uint8 = 6
TUNE_ID_SD_ERROR,uint8 = 15
triggered,bool # Set to true if the event is triggered
vtol_fixed_wing_system_failure,bool # vehicle in fixed-wing system failure failsafe mode (after quad-chute)
local_position_accuracy_low,bool # Local position estimate has dropped below threshold; but is currently still declared valid
mission_failure,bool # Mission failure
mode_req_local_position_relaxed,uint32 
home_position_invalid,bool # No home position available
attitude_invalid,bool # Attitude invalid
battery_unhealthy,bool # Battery unhealthy
mode_req_mission,uint32 
offboard_control_signal_lost,bool # Offboard signal lost
